lemma,A1,A2,A3,A4,A1&A2,State,Polarity,Effect
вдохновенье,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, pos, 1)","(A1, A2, pos, 1)","(A1, +, 1)"
вдохновитель,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, pos, 1)","['(A0, A1, pos, 0.7)', '(A1, A0, pos, 1)']","(A1, +, 1)"
вдохновительница,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, pos, 1)","['(A0, A1, pos, 0.7)', '(A1, A0, pos, 1)']","(A1, +, 1)"
вдохновить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc) (VERB VerbForm=Inf),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A2, +, 1)', '(A3, +, 1)']"
вдохновиться,(NOUN Case=Nom),(NOUN Case=Ins) (NOUN Case=Gen) (NOUN Case=Ins),,,,"(A1, pos, 1)","(A1, A2, pos, 1)","(A1, +, 1)"
вдохновлять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc) (VERB VerbForm=Inf),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A2, +, 1)', '(A3, +, 1)']"
вдохновляться,(NOUN Case=Nom),(NOUN Case=Ins) (NOUN Case=Gen) (NOUN Case=Ins),,,,"(A1, pos, 1)","(A1, A2, pos, 1)","(A1, +, 1)"
везти,(NOUN Case=Dat),(NOUN Case=Loc) (NOUN Case=Ins),,,,"(A1, pos, 1)","['(A1, A2, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 1)']",
верить,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc) (Что+Clause),,,"['(A1, pos, 1)', '(A2, pos, 1)', '(A3, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)']","['(A2, +, 1)', '(A3, +, 1)']"
взаимопонимание,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN между + Case=Ins и Case=Ins) (NOUN Case=Gen и Case=Gen)']",(NOUN Case=Ins),(NOUN Case=Loc),,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)', '(A3, +, 1)']"
взбесить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
взбеситься,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen) (Что+Clause),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)']","(A1, -, 1)"
взбунтоваться,(NOUN Case=Nom),(NOUN Case=Gen),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
вздорожание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,,"(author, A1, neg, 0.7)","(A1, +, 1)"
вздорожать,(NOUN Case=Nom),,,,,,"(author, A1, neg, 0.7)","(A1, +, 1)"
взламывать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
взлом,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
взломать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
взломщик,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,,"(A0, A1, neg, 1)","(A1, -, 1)"
взломщица,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,,"(A0, A1, neg, 1)","(A1, -, 1)"
взорвать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
взрывать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
вина,(NOUN Case=Gen) (PRON Poss=Yes/ ADJ),(NOUN Case=Loc),,,,"(A1, neg, 1)","['(author, A1, neg, 1)', '(author, A2, neg, 1)']",
винить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Loc) (Что+Clause),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A3, neg, 1)']","(A2, -, 1)"
владеть,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A1, pos, 1)","(A1, A2, pos, 1)",
вмешательство,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)']",
воевать,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и Case=Nom Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),(NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
возмутить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins) // Отличия с A4??,(NOUN Case=Gen) (NOUN Case=Gen),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(A2, A4, neg, 1)']","['(A2, -, 1)', '(A3, -, 0.7)']"
возмутиться,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
возмущать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),(NOUN Case=Gen) (NOUN Case=Gen),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(A2, A4, neg, 1)']","['(A2, -, 1)', '(A3, -, 0.7)']"
возмущаться,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
возмущение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),(NOUN Case=Gen) (NOUN Case=Gen),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)']","['(A1, -, 1)', '(A2, -, 0.7)']"
возродить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","(A2, +, 1)"
возрождать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","(A2, +, 1)"
возрождение,(NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A2, A1, pos, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","(A2, +, 1)"
война,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN между Case=Ins и Case=Ins) (N и N)']",(N + Case=Ins),(NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, pos, 1)', '(A2, A3, pos, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
волновать,(N Noun),(NOUN Case=Acc),(Что+Clause),,,"(A1, neg, 0.7)","['(A1, A2, pos, 0.7)', '(A1, A2, neg, 0.7)']","(A2, -, 0.7)"
волноваться,(NOUN Case=Nom),(NOUN Case=Acc),(Что+Clause),,,"(A1, neg, 1)","['(A1, A2, pos, 0.7)', '(A1, A3, neg, 1)']",
ворваться,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A2, neg, 0.7)","['(A1, A2, neg, 0.7)', '(A1, A3, neg, 0.7)', '(A2, A1, neg, 0.7)', '(author, A1, neg, 0.7)']","['(A2, -, 0.7)', '(A3, neg, 0.7)']"
воровать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A3, neg, 1)']","['(A1, A2, pos, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(A3, A2, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A1, +, 1)', '(A3, -, 1)']"
воровство,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A3, neg, 1)']","['(A1, A2, pos, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(A3, A2, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A1, +, 1)', '(A3, -, 1)']"
воспретить,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc) (VERB VerbForm=Inf) (Чтобы+Clause),,,"(A2, neg, 1)","['(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
воспрещать,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc) (VERB VerbForm=Inf) (Чтобы+Clause),,,"(A2, neg, 1)","['(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
воспрещаться,(NOUN Case=Dat),(NOUN Case=Nom) (VERB VerbForm=Inf) (Чтобы+Clause),,,,"(A1, neg, 1) ","(A1, A2, pos, 0.7)","['(A1, -, 1)', '(A2, -, 1)']"
воссоединение,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Gen и Case=Gen) (NOUN Case=Gen Plural)']",(NOUN Case=Ins),,,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
воссоединить,(NOUN Case=Nom),"['(NOUN Case=Acc)', 'A3: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),,,"['(A2, pos, 1)', '(A3, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(A3, A1, pos, 1)', '(A3, A2, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 1)']"
воссоединиться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),,,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
воссоединять,(NOUN Case=Nom),"['(NOUN Case=Acc)', 'A3: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),,,"['(A2, pos, 1)', '(A3, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(A3, A1, pos, 1)', '(A3, A2, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 1)']"
воссоединяться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),,,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
восставать,(NOUN Case=Nom),(NOUN Case=Gen),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
восстание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
восстать,(NOUN Case=Nom),(NOUN Case=Gen),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(author, A1, pos, 0.7)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
восторг,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN по Case=Gen),,,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 1)']","(A2, +, 1)"
восторгать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins) ,,,"(A2, pos, 1)","['(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A2, +, 1)', '(A3, +, 1)']"
восторгаться,(NOUN Case=Nom),(NOUN Case=Ins) (Что+Clause),,,,"['(A1, pos, 1)', '(A2, pos, 0.7)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
восхваление,(NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","(A2, +, 1)"
восхвалить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","(A2, +, 1)"
восхвалять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","(A2, +, 1)"
впечатлить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(A2, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 1)']"
впечатлять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(A2, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 1)']"
враг,(NOUN Case=Gen) (PRON Poss=Yes/ADJ (NOUN Case=Dat),,,,,"(A1, neg, 1)","['(A1, A0, neg, 1)', '(A0, A1, neg, 1)']",
вражда,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Gen и NOUN Case=Gen) (NOUN Case=Ins и Case=Ins)']",(NOUN Case=Ins),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
враждовать,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom)']",(NOUN Case=Ins),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
врываться,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A2, neg, 0.7)","['(A1, A2, neg, 0.7)', '(A1, A3, neg, 0.7)', '(A2, A1, neg, 0.7)', '(author, A1, neg, 0.7)']","['(A2, -, 0.7)', '(A3, neg, 0.7)']"
вспыхнуть,(NOUN Case=Nom),,,,,"(A1, neg, 1)",,
вторгаться,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
вторгнуться,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
вторжение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,,,"['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
втягивание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 0.7)', '(A2, A3, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, +, 1)']"
втягивать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 0.7)', '(A2, A3, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, +, 1)']"
